(25/05/2024|14:19:25) [TUMDER|D7:88:53:92:3B:B0|179.221.201.40] : * Item combine ailyn. *
(25/05/2024|14:44:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:44:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:44:05) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:44:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:44:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:44:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:44:08) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:44:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:44:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:44:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:44:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:45:37) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:37) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:37) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:37) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:45:39) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:39) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:39) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:39) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:45:42) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:42) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:42) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:42) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:45:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:45) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:45:48) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:48) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:48) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:48) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:45:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:45:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:45:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:45:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:45:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:46:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:46:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:46:44) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:44) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:44) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:44) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:46:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:47) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:46:49) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:49) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:49) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:49) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:46:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:51) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:46:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:46:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:46:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:46:54) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:47:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:47:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:47:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:47:38) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:47:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:47:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:47:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:47:41) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:47:50) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : * Item combine ailyn. *
(25/05/2024|14:47:50) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : Combine Ailyn. Item 1: 2209 - 43,9,60,10,72,30 | Item 2: 2209 - 43,9,60,10,72,30
(25/05/2024|14:47:50) [MAITOR2|98:83:89:F3:B0:6B|200.124.88.216] : Combine Ailyn. Item result: 2209 - 43,9,60,10,72,30
(25/05/2024|14:48:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:48:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:02) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:48:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:48:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:09) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:48:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:11) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:48:13) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:13) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:13) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:13) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:48:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:48:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:48:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:48:57) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:00) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:01) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:04) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:06) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:49:18) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:18) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:18) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:18) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:49:20) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:20) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:20) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:20) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:49:23) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:23) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:23) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:23) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:25) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia + 5x Jóia_da_Proteção
(25/05/2024|14:49:27) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:27) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:27) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:27) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
(25/05/2024|14:49:29) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[0] 412 - 61,1,0,0,0,0
(25/05/2024|14:49:29) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[1] 2444 - 61,1,0,0,0,0
(25/05/2024|14:49:29) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia. Item[2] 2443 - 61,1,0,0,0,0
(25/05/2024|14:49:29) [THALES0505|40:8D:5C:ED:54:CF|177.137.198.142] : Combine Alquimia Falhou
