(24/05/2024|00:00:07) [GRATIDAO12|D4:D2:D6:54:19:A3|192.141.82.237] : MobName:BM-Odin dropou o item: Poeira_de_Lactolerium:413 59.236.59.18.59.64 do mob:Morlock
(24/05/2024|00:13:27) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:13:27) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:13:29) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:13:30) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:13:49) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Poeira_de_Oriharucon:412 59.63.59.243.59.64 do mob:Cria de Aranha
(24/05/2024|00:13:55) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:14:02) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:14:06) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:14:12) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:14:15) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:14:16) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:14:18) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:14:26) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:14:27) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:14:28) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:14:31) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:14:32) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:14:39) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:14:43) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Poeira_de_Lactolerium:413 59.175.59.69.59.172 do mob:Cria de Aranha
(24/05/2024|00:14:56) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:15:02) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:15:05) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:15:13) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Poeira_de_Lactolerium:413 59.15.59.25.59.171 do mob:Cria de Aranha
(24/05/2024|00:15:15) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:15:16) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:15:18) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:15:25) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:15:26) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:15:36) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:15:37) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:15:37) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:15:38) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:15:40) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:15:40) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:16:00) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:16:03) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:16:08) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:16:12) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:16:15) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:16:26) [1415141|64:49:7D:E3:77:A3|187.73.19.165] : MobName:AntVenon dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:16:37) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:16:42) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:16:52) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:17:21) [BLAKBIEL|10:63:C8:B0:BA:E1|45.186.41.240] : MobName:Zadnitsa dropou o item: Poeira_de_Lactolerium:413 59.40.59.10.59.200 do mob:Tauron
(24/05/2024|00:17:25) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Poeira_de_Oriharucon:412 59.223.59.131.59.60 do mob:Morlock
(24/05/2024|00:17:30) [BLAKBOI|10:63:C8:B0:BA:E1|45.186.41.240] : MobName:Mohyan dropou o item: Poeira_de_Lactolerium:413 59.47.59.70.59.206 do mob:Adamant Tauron
(24/05/2024|00:17:40) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:17:47) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:17:55) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:17:55) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:17:55) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:17:57) [THALES0202|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Bellion dropou o item: Poeira_de_Lactolerium:413 59.114.59.226.59.238 do mob:Adamant Tauron
(24/05/2024|00:18:04) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:18:08) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:18:12) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:18:23) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:18:25) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:18:29) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:18:40) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:18:50) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:18:51) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:18:52) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:18:59) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:19:16) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:19:17) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:19:27) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Poeira_de_Lactolerium:413 59.96.59.37.59.74 do mob:Morlock
(24/05/2024|00:19:28) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:19:31) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:19:39) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:19:40) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:19:48) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:19:55) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:20:01) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:20:02) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:20:20) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:20:22) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Poeira_de_Oriharucon:412 59.187.59.41.59.205 do mob:MorlockAmald
(24/05/2024|00:20:25) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:20:27) [CAPORAL2|9C:53:22:20:FC:E9|179.124.196.128] : MobName:M4A1-S dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:20:29) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:20:33) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Poeira_de_Oriharucon:412 59.160.59.28.59.190 do mob:Cria de Aranha
(24/05/2024|00:20:39) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Poeira_de_Oriharucon:412 59.196.59.113.59.232 do mob:MorlockAmald
(24/05/2024|00:20:48) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:20:54) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:20:56) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:21:01) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:21:03) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:21:04) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Poeira_de_Lactolerium:413 59.96.59.159.59.238 do mob:AranhaAmald
(24/05/2024|00:21:09) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:21:10) [ADEILDO05|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:TKZAO dropou o item: Poeira_de_Lactolerium:413 59.160.59.120.59.133 do mob:Hidra Imortal
(24/05/2024|00:21:10) [CANEDOP4|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Miztli dropou o item: Poeira_de_Lactolerium:413 59.39.59.204.59.98 do mob:Adamant Tauron
(24/05/2024|00:21:14) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:21:28) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:21:32) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:21:36) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:21:37) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:21:45) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:21:51) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:22:00) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Poeira_de_Lactolerium:413 59.96.59.227.59.167 do mob:Cria de Aranha
(24/05/2024|00:22:00) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:22:02) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(24/05/2024|00:22:05) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:22:18) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:22:26) [THAMUZ|20:89:84:07:DE:50|45.191.23.254] : MobName:THAMUZ dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:22:37) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:22:39) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:22:41) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:22:43) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:22:53) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:23:05) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:23:12) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:23:14) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:23:15) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:23:25) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Poeira_de_Oriharucon:412 59.211.59.28.59.32 do mob:Morlock
(24/05/2024|00:23:25) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Poeira_de_Oriharucon:412 59.43.59.43.59.119 do mob:MorlockAmald
(24/05/2024|00:23:28) [CAPORAL|9C:53:22:20:FC:E9|179.124.196.128] : MobName:Batman dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(24/05/2024|00:23:36) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:23:36) [OLIVEIRA1|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo1 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:23:36) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:23:37) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:23:38) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:23:39) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(24/05/2024|00:23:39) [DROPTOMMY|70:4D:7B:CE:F9:E7|177.12.24.240] : MobName:RangeR dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:23:48) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:24:02) [DREXEL02|ED:56:C3:FF:2D:C0|45.231.175.7] : MobName:MagaNegra dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:24:03) [JEFFE93|E6:0E:A1:F0:86:A8|45.188.62.26] : MobName:Patolino dropou o item: Poeira_de_Lactolerium:413 59.179.59.118.59.120 do mob:Cria de Aranha
(24/05/2024|00:24:03) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:24:12) [OLIVEIRA5|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo5 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:24:12) [ADEILDO02|5C:C9:D3:1E:63:2A|104.28.229.179] : MobName:FMZINHA dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(24/05/2024|00:24:14) [CANEDOP2|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Cualli dropou o item: Poeira_de_Oriharucon:412 59.223.59.215.59.8 do mob:MorlockAmald
(24/05/2024|00:24:16) [CANEDOP3|00:1A:7D:DA:71:13|45.187.118.65] : MobName:Pancho dropou o item: Poeira_de_Lactolerium:413 59.212.59.223.59.189 do mob:Adamant Tauron
(24/05/2024|00:24:18) [ADEILDO01|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:LaEleMetal dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(24/05/2024|00:24:37) [RAFALAN1|00:05:16:5A:23:7F|177.129.25.62] : MobName:LUCIFER dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(24/05/2024|00:24:39) [THALES0101|40:8D:5C:ED:54:CF|177.137.198.142] : MobName:Barbecue dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(24/05/2024|00:24:39) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Poeira_de_Lactolerium:413 59.177.59.35.59.222 do mob:GargulaAmald
(24/05/2024|00:24:41) [GFERREIRA2|10:C3:7B:C3:83:6D|177.200.255.112] : MobName:BM-W dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
