(21/05/2024|01:00:06) [MONOB3|A8:A7:95:DB:FD:92|187.19.188.243] : MobName:ErroR403 dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:15:57) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:HorizonAmald
(21/05/2024|01:15:58) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:16:09) [DORITUS01|22:18:4D:06:14:ED|177.149.131.127] : MobName:DODO dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Cria de Aranha
(21/05/2024|01:16:19) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:16:31) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:16:53) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:16:59) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Poeira_de_Oriharucon:412 59.178.59.181.59.134 do mob:MorlockAmald
(21/05/2024|01:17:07) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:08) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:17:18) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:17:19) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:29) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:33) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:17:34) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:37) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:40) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:44) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:17:59) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Moeda_de_Prata(1Mi):4026 43.4.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:18:06) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:18:09) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:18:22) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:18:35) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:18:35) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:18:41) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:18:43) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:18:46) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:18:49) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:18:54) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:18:57) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:19:02) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:19:08) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:19:43) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:19:46) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:19:48) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:19:53) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:20:00) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:20:07) [DORITUS01|22:18:4D:06:14:ED|177.149.131.127] : MobName:DODO dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Cria de Aranha
(21/05/2024|01:20:09) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:20:09) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Poeira_de_Lactolerium:413 59.83.59.255.59.38 do mob:MorlockAmald
(21/05/2024|01:20:10) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Poeira_de_Oriharucon:412 59.181.59.164.59.4 do mob:GargulaAmald
(21/05/2024|01:20:10) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:20:18) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:20:20) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:20:41) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:20:53) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:21:00) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:21:03) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:21:19) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:21:20) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:21:20) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:21:26) [BLAKBOI|10:63:C8:B0:BA:E1|45.186.41.240] : MobName:Mohyan dropou o item: Poeira_de_Lactolerium:413 59.103.59.2.59.191 do mob:Verme 
(21/05/2024|01:21:32) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:21:43) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:21:45) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:21:55) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:21:56) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:22:01) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Poeira_de_Lactolerium:413 59.171.59.77.59.132 do mob:GargulaAmald
(21/05/2024|01:22:05) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:22:08) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:22:33) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:22:41) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.36.59.3.59.242 do mob:AranhaAmald
(21/05/2024|01:22:42) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:22:50) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:22:54) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:22:54) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Poeira_de_Oriharucon:412 59.162.59.36.59.59 do mob:GargulaAmald
(21/05/2024|01:22:55) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.72.59.49.59.75 do mob:AranhaAmald
(21/05/2024|01:23:19) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:23:19) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:23:20) [JP01|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:JUMPER dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Guarda Beriel
(21/05/2024|01:23:22) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:23:28) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:23:33) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:23:47) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:23:52) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:23:53) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:23:57) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:23:57) [PDRLOCO2|FA:15:AD:C0:8A:CB|24.152.110.19] : MobName:I-B3T365-I dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:24:06) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:24:10) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:24:14) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:24:18) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:24:31) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:24:45) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:24:48) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:24:53) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Poeira_de_Oriharucon:412 59.120.59.168.59.178 do mob:MorlockAmald
(21/05/2024|01:24:57) [SMASH35|B4:2E:99:F4:C4:2D|138.0.244.88] : MobName:black dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:AranhaAmald
(21/05/2024|01:24:59) [WELXXD2|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Shimura dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:24:59) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:25:08) [WELXXD1|3C:7C:3F:78:2D:AB|138.204.211.206] : MobName:Zadkiel dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:25:19) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:25:33) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:25:41) [ADEILDO|18:C0:4D:43:0A:6F|186.195.239.79] : MobName:Feitoza dropou o item: Poeira_de_Lactolerium:413 59.170.59.21.59.220 do mob:Tauron
(21/05/2024|01:25:42) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:GargulaAmald
(21/05/2024|01:25:43) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:26:09) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:26:44) [LELEO17|04:7C:16:11:36:0A|138.255.58.218] : MobName:Bjorn dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Demonio do Vale
(21/05/2024|01:26:55) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:27:10) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:27:25) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:27:45) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:27:46) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:28:05) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:28:05) [LUAN223|BC:F4:D4:E6:86:D2|177.181.0.54] : MobName:Whythx dropou o item: Poeira_de_Lactolerium:413 59.56.59.12.59.247 do mob:Tauron
(21/05/2024|01:28:10) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:28:20) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:28:30) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:00) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:29:08) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:29:16) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:20) [LKSLAN|70:4D:7B:CE:F9:E7|177.12.16.242] : MobName:Solitario dropou o item: Poeira_de_Lactolerium:413 59.197.59.146.59.130 do mob:Cria de Aranha
(21/05/2024|01:29:22) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:29:25) [VINICIUS93|00:05:16:62:AE:51|177.137.250.254] : MobName:Vinicius93 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:34) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:34) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:29:35) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:37) [OLIVEIRA3|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo3 dropou o item: Esmeralda:2442 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:53) [OLIVEIRA2|2C:8D:B1:3C:6D:B4|131.221.90.121] : MobName:Dodo2 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:29:58) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:30:38) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:30:38) [CAPORAL4|E0:D5:5E:F0:8E:D8|179.124.196.128] : MobName:Sniper dropou o item: Pedra_do_Sábio:1774 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:31:14) [JP01|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:JUMPER dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Guarda Beriel
(21/05/2024|01:31:23) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:31:33) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:31:37) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:31:46) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Poeira_de_Oriharucon:412 59.143.59.211.59.228 do mob:MorlockAmald
(21/05/2024|01:31:46) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:31:55) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:31:59) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:32:08) [JP02|0A:0A:0A:0A:D7:F3|170.82.134.203] : MobName:EOOQ dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:32:10) [MODS03|00:E2:69:6D:06:ED|170.78.33.88] : MobName:-lBioHaZZarD dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:32:31) [141514|64:49:7D:E3:77:A3|187.73.19.165] : MobName:HAFO dropou o item: Poeira_de_Lactolerium:413 59.134.59.99.59.80 do mob:Tauron
(21/05/2024|01:32:32) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Coral:2443 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:32:47) [DORITUS02|22:18:4D:06:14:ED|177.149.131.127] : MobName:Farmador dropou o item: Moeda_de_Prata(1Mi):4026 0.0.0.0.0.0 do mob:MorlockAmald
(21/05/2024|01:32:53) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Garnet:2444 0.0.0.0.0.0 do mob:Morlock
(21/05/2024|01:32:54) [SARGENTO01|30:8D:99:14:82:E6|45.178.19.208] : MobName:SARGENT0 dropou o item: Diamante:2441 0.0.0.0.0.0 do mob:Morlock
